anio_despacho,mes_despacho,producto,volumen_total
2023,01,BIODIESEL CON MEZCLA,137060914.94
2023,01,GASOLINA MOTOR CORRIENTE,193180018.27
2023,01,GASOLINA MOTOR EXTRA,3337096
2023,02,BIODIESEL CON MEZCLA,141811527.75
2023,02,GASOLINA MOTOR CORRIENTE,178845528.92
2023,02,GASOLINA MOTOR EXTRA,2922945
2023,03,BIODIESEL CON MEZCLA,152683144.43
2023,03,GASOLINA MOTOR CORRIENTE,199069575.85
2023,03,GASOLINA MOTOR EXTRA,3409937
2023,04,BIODIESEL CON MEZCLA,141160419.94
2023,04,GASOLINA MOTOR CORRIENTE,191192292.05
2023,04,GASOLINA MOTOR EXTRA,3107315
2023,05,BIODIESEL CON MEZCLA,152457601
2023,05,GASOLINA MOTOR CORRIENTE,199854452.49
2023,05,GASOLINA MOTOR EXTRA,3268627
2023,06,BIODIESEL CON MEZCLA,145675700.04
2023,06,GASOLINA MOTOR CORRIENTE,191374001.99
2023,06,GASOLINA MOTOR EXTRA,3415966.96
2023,07,BIODIESEL CON MEZCLA,148299698.58
2023,07,GASOLINA MOTOR CORRIENTE,195291784.98
2023,07,GASOLINA MOTOR EXTRA,3135475
2023,08,BIODIESEL CON MEZCLA,155579824.98
2023,08,GASOLINA MOTOR CORRIENTE,195562246.75
2023,08,GASOLINA MOTOR EXTRA,3561518.52
2023,09,BIODIESEL CON MEZCLA,155079769.43
2023,09,GASOLINA MOTOR CORRIENTE,188050194.44
2023,09,GASOLINA MOTOR EXTRA,3244854
2023,10,BIODIESEL CON MEZCLA,152436636.02
2023,10,GASOLINA MOTOR CORRIENTE,192046188.20
2023,10,GASOLINA MOTOR EXTRA,3413857
2023,11,BIODIESEL CON MEZCLA,151487826.98
2023,11,GASOLINA MOTOR CORRIENTE,183633188.11
2023,11,GASOLINA MOTOR EXTRA,3497574
2023,12,BIODIESEL CON MEZCLA,151626795.03
2023,12,GASOLINA MOTOR CORRIENTE,202736386.74
2023,12,GASOLINA MOTOR EXTRA,4209161
2024,01,BIODIESEL CON MEZCLA,144285771.60
2024,01,GASOLINA MOTOR CORRIENTE,184390371.47
2024,01,GASOLINA MOTOR EXTRA,3856121
2024,02,BIODIESEL CON MEZCLA,147495037.64
2024,02,GASOLINA MOTOR CORRIENTE,172070486.98
2024,02,GASOLINA MOTOR EXTRA,3633909
2024,03,BIODIESEL CON MEZCLA,144277427.23
2024,03,GASOLINA MOTOR CORRIENTE,178194921.02
2024,03,GASOLINA MOTOR EXTRA,3838810
2024,04,BIODIESEL CON MEZCLA,154039474.54
2024,04,GASOLINA MOTOR CORRIENTE,177388643.88
2024,04,GASOLINA MOTOR EXTRA,3924129
2024,05,BIODIESEL CON MEZCLA,150211613.37
2024,05,GASOLINA MOTOR CORRIENTE,180113898.34
2024,05,GASOLINA MOTOR EXTRA,3922009
2024,06,BIODIESEL CON MEZCLA,142479634
2024,06,GASOLINA MOTOR CORRIENTE,173356747.38
2024,06,GASOLINA MOTOR EXTRA,3924196
2024,07,BIODIESEL CON MEZCLA,156055222
2024,07,GASOLINA MOTOR CORRIENTE,180689777.36
2024,07,GASOLINA MOTOR EXTRA,4028023
2024,08,BIODIESEL CON MEZCLA,155571800.4
2024,08,GASOLINA MOTOR CORRIENTE,180239929.45
2024,08,GASOLINA MOTOR EXTRA,4338709
2024,09,BIODIESEL CON MEZCLA,146939295.87
2024,09,GASOLINA MOTOR CORRIENTE,172999066.56
2024,09,GASOLINA MOTOR EXTRA,4216802
2024,10,BIODIESEL CON MEZCLA,160534858
2024,10,GASOLINA MOTOR CORRIENTE,185172087.72
2024,10,GASOLINA MOTOR EXTRA,4599752
2024,11,BIODIESEL CON MEZCLA,160173738.25
2024,11,GASOLINA MOTOR CORRIENTE,178447732
2024,11,GASOLINA MOTOR EXTRA,4482137
2024,12,BIODIESEL CON MEZCLA,159535448.97
2024,12,GASOLINA MOTOR CORRIENTE,201860361
2024,12,GASOLINA MOTOR EXTRA,5479724
2025,01,BIODIESEL CON MEZCLA,151874099.87
2025,01,GASOLINA MOTOR CORRIENTE,182461431.22
2025,01,GASOLINA MOTOR EXTRA,5053302
2025,02,BIODIESEL CON MEZCLA,150003148
2025,02,GASOLINA MOTOR CORRIENTE,165100074.43
2025,02,GASOLINA MOTOR EXTRA,4611737
2025,03,BIODIESEL CON MEZCLA,160133639.6
2025,03,GASOLINA MOTOR CORRIENTE,181420954.5
2025,03,GASOLINA MOTOR EXTRA,5222622
2025,04,BIODIESEL CON MEZCLA,154168080.8
2025,04,GASOLINA MOTOR CORRIENTE,180956118
2025,04,GASOLINA MOTOR EXTRA,5585848
2025,05,BIODIESEL CON MEZCLA,162308717
2025,05,GASOLINA MOTOR CORRIENTE,185198442.94
2025,05,GASOLINA MOTOR EXTRA,5391801
2025,06,BIODIESEL CON MEZCLA,147917877
2025,06,GASOLINA MOTOR CORRIENTE,173469652.02
2025,06,GASOLINA MOTOR EXTRA,5123720
