anio_despacho,quarter,producto,volumen_total
2023,Q1,BIODIESEL CON MEZCLA,431555587.12
2023,Q1,GASOLINA MOTOR CORRIENTE,571095123.04
2023,Q1,GASOLINA MOTOR EXTRA,9669978.0
2023,Q2,BIODIESEL CON MEZCLA,439293720.98
2023,Q2,GASOLINA MOTOR CORRIENTE,582420746.53
2023,Q2,GASOLINA MOTOR EXTRA,9791908.96
2023,Q3,BIODIESEL CON MEZCLA,458959292.99
2023,Q3,GASOLINA MOTOR CORRIENTE,578904226.17
2023,Q3,GASOLINA MOTOR EXTRA,9941847.52
2023,Q4,BIODIESEL CON MEZCLA,455551258.03
2023,Q4,GASOLINA MOTOR CORRIENTE,578415763.05
2023,Q4,GASOLINA MOTOR EXTRA,11120592.0
2024,Q1,BIODIESEL CON MEZCLA,436058236.46999997
2024,Q1,GASOLINA MOTOR CORRIENTE,534655779.47
2024,Q1,GASOLINA MOTOR EXTRA,11328840.0
2024,Q2,BIODIESEL CON MEZCLA,446730721.90999997
2024,Q2,GASOLINA MOTOR CORRIENTE,530859289.6
2024,Q2,GASOLINA MOTOR EXTRA,11770334.0
2024,Q3,BIODIESEL CON MEZCLA,458566318.27
2024,Q3,GASOLINA MOTOR CORRIENTE,533928773.37
2024,Q3,GASOLINA MOTOR EXTRA,12583534.0
2024,Q4,BIODIESEL CON MEZCLA,480244045.22
2024,Q4,GASOLINA MOTOR CORRIENTE,565480180.72
2024,Q4,GASOLINA MOTOR EXTRA,14561613.0
2025,Q1,BIODIESEL CON MEZCLA,462010887.47
2025,Q1,GASOLINA MOTOR CORRIENTE,528982460.15
2025,Q1,GASOLINA MOTOR EXTRA,14887661.0
2025,Q2,BIODIESEL CON MEZCLA,464394674.8
2025,Q2,GASOLINA MOTOR CORRIENTE,539624212.96
2025,Q2,GASOLINA MOTOR EXTRA,16101369.0
