anio_despacho,quarter,producto,volumen_total
2023,Q1,BIODIESEL CON MEZCLA,429951116.12
2023,Q1,GASOLINA MOTOR CORRIENTE,568060765.04
2023,Q1,GASOLINA MOTOR EXTRA,9669978.0
2023,Q2,BIODIESEL CON MEZCLA,437866885.98
2023,Q2,GASOLINA MOTOR CORRIENTE,579908688.53
2023,Q2,GASOLINA MOTOR EXTRA,9791908.96
2023,Q3,BIODIESEL CON MEZCLA,458012797.99
2023,Q3,GASOLINA MOTOR CORRIENTE,577106677.17
2023,Q3,GASOLINA MOTOR EXTRA,9941847.52
2023,Q4,BIODIESEL CON MEZCLA,453122367.03
2023,Q4,GASOLINA MOTOR CORRIENTE,575840845.05
2023,Q4,GASOLINA MOTOR EXTRA,11117792.0
2024,Q1,BIODIESEL CON MEZCLA,433316837.46999997
2024,Q1,GASOLINA MOTOR CORRIENTE,532164842.47
2024,Q1,GASOLINA MOTOR EXTRA,11331040.0
2024,Q2,BIODIESEL CON MEZCLA,444725135.90999997
2024,Q2,GASOLINA MOTOR CORRIENTE,529155661.6
2024,Q2,GASOLINA MOTOR EXTRA,11770334.0
2024,Q3,BIODIESEL CON MEZCLA,458614657.27
2024,Q3,GASOLINA MOTOR CORRIENTE,534212631.37
2024,Q3,GASOLINA MOTOR EXTRA,12585134.0
2024,Q4,BIODIESEL CON MEZCLA,480307945.22
2024,Q4,GASOLINA MOTOR CORRIENTE,565675164.72
2024,Q4,GASOLINA MOTOR EXTRA,14562313.0
2025,Q1,BIODIESEL CON MEZCLA,462170508.47
2025,Q1,GASOLINA MOTOR CORRIENTE,529301700.15
2025,Q1,GASOLINA MOTOR EXTRA,14896945.0
